frequency,ecsFile,variable,value
131000,original,majorAxisAngleOffset,-0.0083
138000,original,majorAxisAngleOffset,0.0088
139000,original,majorAxisAngleOffset,0.0171
140000,original,majorAxisAngleOffset,0.0236
141000,original,majorAxisAngleOffset,0.0266
142000,original,majorAxisAngleOffset,0.0323
143000,original,majorAxisAngleOffset,0.0372
144000,original,majorAxisAngleOffset,0.0381
145000,original,majorAxisAngleOffset,0.0413
146000,original,majorAxisAngleOffset,0.0476
147000,original,majorAxisAngleOffset,0.0506
148000,original,majorAxisAngleOffset,0.0509
149000,original,majorAxisAngleOffset,0.0548
150000,original,majorAxisAngleOffset,0.058
151000,original,majorAxisAngleOffset,0.0569
152000,original,majorAxisAngleOffset,0.0603
153000,original,majorAxisAngleOffset,0.0691
154000,original,majorAxisAngleOffset,0.0713
155000,original,majorAxisAngleOffset,0.0667
156000,original,majorAxisAngleOffset,0.0666
157000,original,majorAxisAngleOffset,0.0697
158000,original,majorAxisAngleOffset,0.0708
159000,original,majorAxisAngleOffset,0.0722
160000,original,majorAxisAngleOffset,0.0759
161000,original,majorAxisAngleOffset,0.0786
162000,original,majorAxisAngleOffset,0.079
163000,original,majorAxisAngleOffset,0.0815
167000,original,majorAxisAngleOffset,0.0897
168000,original,majorAxisAngleOffset,0.0833
169000,original,majorAxisAngleOffset,0.0729
170000,original,majorAxisAngleOffset,0.0748
176000,original,majorAxisAngleOffset,0.1857
177000,original,majorAxisAngleOffset,0.1701
178000,original,majorAxisAngleOffset,0.1847
179000,original,majorAxisAngleOffset,0.2676
180000,original,majorAxisAngleOffset,0.3074
181000,original,majorAxisAngleOffset,0.2147
182000,original,majorAxisAngleOffset,0.1812
183000,original,majorAxisAngleOffset,0.1847
184000,original,majorAxisAngleOffset,0.1915
185000,original,majorAxisAngleOffset,0.2206
186000,original,majorAxisAngleOffset,0.319
187000,original,majorAxisAngleOffset,0.4641
188000,original,majorAxisAngleOffset,0.5388
189000,original,majorAxisAngleOffset,0.4821
190000,original,majorAxisAngleOffset,0.43
191000,original,majorAxisAngleOffset,0.416
